feedback_id,date,customer_id,product,channel,rating,sentiment,feedback_category,feedback
74,2024-06-02,CUST9792,Mechanical Keyboard,Mobile App,3,Neutral,Delivery & Shipping,"Delivery was on time, nothing special to mention either way. Could go either way on ordering again."
75,2024-06-06,CUST7172,Phone Case,Mobile App,1,Negative,Returns & Refunds,It's been 12 days and my refund still hasn't arrived. Really hope this gets fixed soon.
76,2024-06-09,CUST2229,Keyboard,Website,2,Negative,Delivery & Shipping,"Package showed up a few days late with no explanation given. Second time this has happened, unfortunately."
77,2024-06-10,CUST9955,Phone Charger,Website,3,Neutral,Customer Service,"Support responded eventually, nothing remarkable about the experience. It is what it is, gets the job done."
78,2024-06-14,CUST3697,Bluetooth Headphones,Email,1,Negative,Billing & Payment,"Charged twice for the same order, still waiting on a resolution. This needs serious improvement."
79,2024-06-14,CUST5291,Phone Case,In-Store,4,Positive,Billing & Payment,"Payment process was easy, minor delay in the confirmation email though."
80,2024-06-16,CUST5010,Smart Watch,Phone,2,Negative,App & Website,App crashed a couple of times while I was placing the order.
81,2024-06-18,CUST7624,Phone Case,Phone,3,Neutral,Product Quality,"The Phone Case is fine, about what I'd expect at this price."
82,2024-06-19,CUST6816,Keyboard,In-Store,1,Negative,Customer Service,"Agent was rude and unhelpful, issue never got resolved."
83,2024-06-22,CUST7237,Bluetooth Headphones,Mobile App,2,Negative,App & Website,Search on the website doesn't always return accurate results.
84,2024-06-22,CUST6770,Screen Protector,Mobile App,2,Negative,General/Overall Experience,"A fairly forgettable experience, expected a bit more."
85,2024-06-23,CUST3950,Laptop Stand,Mobile App,5,Positive,Product Quality,"The Laptop Stand looks and feels premium, worth every rupee."
86,2024-06-28,CUST1611,Keyboard,Phone,1,Negative,Customer Service,"Agent was rude and unhelpful, issue never got resolved."
87,2024-06-28,CUST7807,USB Hub,Mobile App,4,Positive,Delivery & Shipping,"Package was well packed, though it arrived a day later than the estimate. Highly recommend based on this experience."
88,2024-07-02,CUST1406,Smart Watch,In-Store,1,Negative,Delivery & Shipping,Paid extra for express shipping but it arrived on standard delivery time. Left me quite disappointed overall.
89,2024-07-03,CUST9939,HDMI Cable,In-Store,1,Negative,Product Quality,"Arrived with visible defects, clearly a quality control miss. Really hope this gets fixed soon."
90,2024-07-10,CUST6554,Power Bank,Phone,1,Negative,Product Quality,The Power Bank broke the first time I used it. Left me quite disappointed overall.
91,2024-07-12,CUST6272,Mechanical Keyboard,In-Store,4,Positive,Customer Service,"Reasonably good support experience, resolved within a day. Will be ordering from here again."
92,2024-07-13,CUST5520,Desk Lamp,Website,2,Negative,Delivery & Shipping,Courier attempted delivery only once and then left it at a pickup point far away. Left me quite disappointed overall.
93,2024-07-17,CUST2647,Bluetooth Headphones,Email,2,Negative,Delivery & Shipping,"Tracking wasn't updated for most of the shipping window, made it hard to plan. This needs serious improvement."
94,2024-07-21,CUST5193,Keyboard,Mobile App,2,Negative,General/Overall Experience,"Experience was underwhelming, probably won't order again. Really hope this gets fixed soon."
95,2024-07-23,CUST9047,Webcam,Website,4,Positive,Product Quality,"Quality is pretty good for the price, small room for improvement. Highly recommend based on this experience."
96,2024-07-27,CUST6246,HDMI Cable,Email,1,Negative,Product Quality,The HDMI Cable broke the first time I used it.
97,2024-07-30,CUST8460,Desk Lamp,WhatsApp,5,Positive,General/Overall Experience,Everything about this purchase exceeded my expectations. Highly recommend based on this experience.
98,2024-07-31,CUST2625,Laptop Bag,In-Store,1,Negative,Returns & Refunds,Sent back a defective item and got no update since.
99,2024-08-04,CUST4764,HDMI Cable,In-Store,2,Negative,Returns & Refunds,Return label they sent didn't work on the first try. Not planning to purchase from here again.
100,2024-08-04,CUST6363,Laptop Bag,Phone,1,Negative,Billing & Payment,Money was deducted but I never received an order confirmation. Left me quite disappointed overall.
101,2024-08-04,CUST8039,Mechanical Keyboard,Phone,1,Negative,App & Website,Can't update my delivery address anywhere on the account page. Really hope this gets fixed soon.
102,2024-08-04,CUST7932,Router,WhatsApp,3,Neutral,Delivery & Shipping,"Standard delivery experience, arrived roughly as scheduled."
103,2024-08-05,CUST6155,Router,In-Store,1,Negative,Returns & Refunds,Refund has not been processed even after multiple follow-ups. Really hope this gets fixed soon.
104,2024-08-08,CUST3547,Laptop Stand,Email,5,Positive,App & Website,"Website is well designed, easy to find exactly what I needed. Highly recommend based on this experience."
105,2024-08-10,CUST5861,Monitor,Website,3,Neutral,General/Overall Experience,"Decent enough experience buying the Monitor, nothing memorable. Could go either way on ordering again."
106,2024-08-11,CUST1049,Power Bank,WhatsApp,4,Positive,Customer Service,"Customer service was helpful, though it took a bit of back and forth."
107,2024-08-12,CUST6772,Keyboard,In-Store,1,Negative,Billing & Payment,Billing amount was significantly higher than what was advertised.
108,2024-08-12,CUST7965,Phone Charger,Mobile App,4,Positive,Billing & Payment,"Checkout was mostly smooth, one small hiccup with the payment gateway."
109,2024-08-14,CUST6562,Power Bank,Email,4,Positive,Billing & Payment,"Payment process was easy, minor delay in the confirmation email though."
110,2024-08-14,CUST9540,Keyboard,Phone,2,Negative,Customer Service,"Got a response eventually, but it felt slower than it should be. Really hope this gets fixed soon."
111,2024-08-16,CUST4728,Desk Lamp,Website,5,Positive,Returns & Refunds,"Refund was processed faster than I expected, no issues at all."
112,2024-08-18,CUST6085,USB Hub,Mobile App,2,Negative,Product Quality,The USB Hub feels a bit flimsy compared to the product photos.
113,2024-08-19,CUST9700,Keyboard,In-Store,5,Positive,App & Website,"Website is well designed, easy to find exactly what I needed."
114,2024-08-19,CUST3306,HDMI Cable,In-Store,4,Positive,General/Overall Experience,"Pretty satisfied overall, would consider ordering again. Would definitely buy again."
115,2024-08-25,CUST3344,Keyboard,Phone,1,Negative,Delivery & Shipping,"Requested a pickup for return 9 days ago and it still hasn't happened. Second time this has happened, unfortunately."
116,2024-08-26,CUST4582,Laptop Bag,WhatsApp,5,Positive,Returns & Refunds,"Refund was processed faster than I expected, no issues at all. Would definitely buy again."
117,2024-08-29,CUST8285,Desk Lamp,Email,1,Negative,Billing & Payment,"Charged twice for the same order, still waiting on a resolution. Left me quite disappointed overall."
118,2024-08-31,CUST6869,Phone Charger,WhatsApp,5,Positive,Product Quality,"Top-notch quality, this Phone Charger feels built to last. Would definitely buy again."
119,2024-09-01,CUST6147,Phone Case,Email,3,Neutral,Billing & Payment,"Checkout worked as expected, nothing memorable either way. Could go either way on ordering again."
120,2024-09-01,CUST9749,Wireless Mouse,Email,1,Negative,App & Website,Account got locked without any explanation. Really hope this gets fixed soon.
121,2024-09-02,CUST6038,Phone Charger,Website,3,Neutral,Returns & Refunds,"Refund came through eventually, nothing remarkable either way. It is what it is, gets the job done."
122,2024-09-03,CUST3439,HDMI Cable,Mobile App,1,Negative,Billing & Payment,"Money was deducted but I never received an order confirmation. Second time this has happened, unfortunately."
123,2024-09-03,CUST1256,Laptop Bag,Mobile App,2,Negative,General/Overall Experience,"Experience was underwhelming, probably won't order again. Left me quite disappointed overall."
124,2024-09-04,CUST5961,Monitor,Email,1,Negative,App & Website,App crashes every single time I try to place an order.
125,2024-09-05,CUST8744,Mechanical Keyboard,Phone,2,Negative,Product Quality,Already showing wear after just a couple of weeks.
126,2024-09-06,CUST3692,HDMI Cable,WhatsApp,1,Negative,Delivery & Shipping,"The HDMI Cable box was crushed in transit, item unusable on arrival."
127,2024-09-07,CUST8912,Wireless Mouse,In-Store,1,Negative,Delivery & Shipping,Requested a pickup for return 14 days ago and it still hasn't happened. This needs serious improvement.
128,2024-09-12,CUST8579,Laptop Stand,Website,3,Neutral,Delivery & Shipping,"Standard delivery experience, arrived roughly as scheduled. It is what it is, gets the job done."
129,2024-09-13,CUST3267,Smart Watch,Website,3,Neutral,App & Website,"App does the job, nothing particularly impressive either way."
130,2024-09-18,CUST3248,Webcam,Email,3,Neutral,Product Quality,"Quality is acceptable for the price point, nothing outstanding. Could go either way on ordering again."
131,2024-09-20,CUST3695,Bluetooth Headphones,Phone,3,Neutral,Delivery & Shipping,"Shipping took the usual amount of time, no issues but nothing notable. It is what it is, gets the job done."
132,2024-09-20,CUST6530,Keyboard,Phone,5,Positive,Delivery & Shipping,"Arrived earlier than expected and in perfect condition. Can't complain at all, great experience."
133,2024-09-24,CUST1187,Wireless Mouse,In-Store,4,Positive,Billing & Payment,"Billing was accurate, just took a bit to receive the receipt."
134,2024-09-28,CUST9288,USB Hub,Mobile App,3,Neutral,Customer Service,"Support was okay, got a response after a day or so. Could go either way on ordering again."
135,2024-10-04,CUST8434,Mechanical Keyboard,Email,4,Positive,Customer Service,"Reasonably good support experience, resolved within a day. Highly recommend based on this experience."
136,2024-10-04,CUST9824,Monitor,WhatsApp,2,Negative,General/Overall Experience,Buying the Monitor was more hassle than it should have been. Really hope this gets fixed soon.
137,2024-10-05,CUST2336,Smart Watch,Phone,1,Negative,Customer Service,Been contacting support for over a week with no resolution. Not planning to purchase from here again.
138,2024-10-08,CUST1535,Phone Charger,Mobile App,3,Neutral,Returns & Refunds,"Return was processed, though the timeline could be clearer upfront. It is what it is, gets the job done."
139,2024-10-09,CUST3541,Keyboard,Mobile App,3,Neutral,Customer Service,"Support was okay, got a response after a day or so. It is what it is, gets the job done."
140,2024-10-11,CUST8245,Monitor,Mobile App,2,Negative,Customer Service,Support took 10 days to respond to a fairly simple question.
141,2024-10-15,CUST5462,HDMI Cable,WhatsApp,5,Positive,General/Overall Experience,"Excellent experience from start to finish, would definitely order again. Really happy with how this turned out."
142,2024-10-18,CUST3042,HDMI Cable,Website,1,Negative,Customer Service,No response to my email even after 10 days.
143,2024-10-20,CUST1627,Phone Case,Phone,4,Positive,Product Quality,"Good quality overall, just a minor scuff on arrival. Really happy with how this turned out."
144,2024-10-23,CUST7843,Laptop Stand,Website,5,Positive,Billing & Payment,"Payment went through instantly with a clear, accurate invoice. Will be ordering from here again."
145,2024-10-27,CUST1919,Phone Charger,Email,3,Neutral,Returns & Refunds,"Refund came through eventually, nothing remarkable either way. It is what it is, gets the job done."
146,2024-10-28,CUST9692,Mechanical Keyboard,Phone,5,Positive,Delivery & Shipping,Arrived earlier than expected and in perfect condition. Will be ordering from here again.
147,2024-10-29,CUST7841,Earbuds,Mobile App,5,Positive,Product Quality,Works exactly as advertised. Very happy with the Earbuds. Highly recommend based on this experience.
148,2024-10-29,CUST2712,Desk Lamp,Phone,2,Negative,Product Quality,Already showing wear after just a couple of weeks. Left me quite disappointed overall.
149,2024-11-01,CUST6763,Power Bank,Phone,4,Positive,Returns & Refunds,Refund took slightly longer than promised but eventually came through. Would definitely buy again.
150,2024-11-03,CUST4692,Monitor,In-Store,5,Positive,Product Quality,"The Monitor looks and feels premium, worth every rupee."
151,2024-11-07,CUST1609,HDMI Cable,Phone,4,Positive,Returns & Refunds,"Return process was smooth, just a small delay in pickup. Would definitely buy again."
152,2024-11-10,CUST3718,Earbuds,WhatsApp,2,Negative,Customer Service,"Got a response eventually, but it felt slower than it should be. Not planning to purchase from here again."
153,2024-11-11,CUST6886,Screen Protector,Email,2,Negative,Customer Service,Support was polite but couldn't actually resolve my issue.
154,2024-11-11,CUST9171,Monitor,Phone,5,Positive,App & Website,"Website is well designed, easy to find exactly what I needed. Will be ordering from here again."
155,2024-11-12,CUST1645,HDMI Cable,Phone,4,Positive,Delivery & Shipping,"Package was well packed, though it arrived a day later than the estimate."
156,2024-11-12,CUST2077,Earbuds,Phone,4,Positive,Customer Service,"Reasonably good support experience, resolved within a day. Would definitely buy again."
157,2024-11-13,CUST2215,Laptop Bag,Phone,2,Negative,Billing & Payment,"Invoice had a small discrepancy compared to the order summary. Second time this has happened, unfortunately."
158,2024-11-14,CUST3683,Smart Watch,Website,4,Positive,Billing & Payment,"Billing was accurate, just took a bit to receive the receipt. Can't complain at all, great experience."
159,2024-11-16,CUST2557,Power Bank,Phone,4,Positive,Returns & Refunds,"Return process was smooth, just a small delay in pickup."
160,2024-11-20,CUST9011,Wireless Mouse,Phone,1,Negative,Product Quality,"Arrived with visible defects, clearly a quality control miss."
161,2024-11-24,CUST5706,Monitor,Email,5,Positive,General/Overall Experience,"Genuinely happy with the Monitor, will be a repeat customer. Really happy with how this turned out."
162,2024-11-25,CUST4084,Laptop Bag,WhatsApp,3,Neutral,Billing & Payment,"Checkout worked as expected, nothing memorable either way."
163,2024-11-25,CUST2323,Monitor,WhatsApp,4,Positive,Returns & Refunds,Refund took slightly longer than promised but eventually came through. Would definitely buy again.
164,2024-11-26,CUST5397,Monitor,Mobile App,1,Negative,Product Quality,Completely different quality from what was shown online. Left me quite disappointed overall.
165,2024-11-28,CUST6105,Phone Case,WhatsApp,4,Positive,Customer Service,Support agent was courteous and got my issue sorted eventually. Highly recommend based on this experience.
166,2024-11-29,CUST4971,Wireless Mouse,Phone,4,Positive,Delivery & Shipping,"Shipping was reliable overall, just wish tracking updates were more frequent. Will be ordering from here again."
167,2024-11-30,CUST7691,Bluetooth Headphones,Phone,5,Positive,Customer Service,"Amazing customer service, they went out of their way to help."
168,2024-12-01,CUST2311,Wireless Mouse,In-Store,1,Negative,Customer Service,No response to my email even after 7 days. Not planning to purchase from here again.
169,2024-12-01,CUST3616,Laptop Stand,WhatsApp,1,Negative,Delivery & Shipping,Paid extra for express shipping but it arrived on standard delivery time.
170,2024-12-01,CUST3290,Earbuds,WhatsApp,3,Neutral,Product Quality,"The Earbuds is fine, about what I'd expect at this price."
171,2024-12-04,CUST2845,Router,Mobile App,5,Positive,Returns & Refunds,"Refund was processed faster than I expected, no issues at all."
172,2024-12-06,CUST4422,Mechanical Keyboard,Email,3,Neutral,App & Website,"Usable app, though the interface could use a refresh. Neither impressed nor disappointed, just okay."
173,2024-12-07,CUST7690,USB Hub,Email,4,Positive,General/Overall Experience,"Pretty satisfied overall, would consider ordering again. Highly recommend based on this experience."
174,2024-12-07,CUST3463,Router,Website,2,Negative,Delivery & Shipping,"Tracking wasn't updated for most of the shipping window, made it hard to plan. Second time this has happened, unfortunately."
175,2024-12-10,CUST7209,Keyboard,Website,5,Positive,Returns & Refunds,"Refund was processed faster than I expected, no issues at all. Can't complain at all, great experience."
176,2024-12-14,CUST7798,Earbuds,WhatsApp,1,Negative,Product Quality,Completely different quality from what was shown online. This needs serious improvement.
177,2024-12-14,CUST5232,Webcam,Email,4,Positive,Billing & Payment,"Billing was accurate, just took a bit to receive the receipt."
178,2024-12-15,CUST4509,Desk Lamp,Phone,3,Neutral,Customer Service,"Support was okay, got a response after a day or so. Could go either way on ordering again."
179,2024-12-16,CUST9734,Phone Case,WhatsApp,3,Neutral,General/Overall Experience,"Experience was okay, met basic expectations and nothing more. Neither impressed nor disappointed, just okay."
180,2024-12-17,CUST8951,Mechanical Keyboard,In-Store,1,Negative,Product Quality,"Arrived with visible defects, clearly a quality control miss. Really hope this gets fixed soon."
181,2024-12-22,CUST5305,Wireless Mouse,Website,5,Positive,General/Overall Experience,Everything about this purchase exceeded my expectations. Will be ordering from here again.
182,2024-12-25,CUST6724,Bluetooth Headphones,In-Store,5,Positive,App & Website,"The app is smooth and intuitive, browsing and checkout were effortless. Really happy with how this turned out."
183,2024-12-26,CUST6119,Laptop Bag,Website,1,Negative,Billing & Payment,"Card was charged for a product I never actually ordered. Second time this has happened, unfortunately."
184,2025-01-05,CUST3852,Wireless Mouse,WhatsApp,3,Neutral,App & Website,"App does the job, nothing particularly impressive either way."
185,2025-01-07,CUST3600,Screen Protector,Email,5,Positive,Customer Service,"Customer support was excellent, quick and clear communication throughout. Can't complain at all, great experience."
186,2025-01-08,CUST7731,Smart Watch,In-Store,2,Negative,Delivery & Shipping,Courier attempted delivery only once and then left it at a pickup point far away. Not planning to purchase from here again.
187,2025-01-08,CUST6050,Laptop Stand,Website,3,Neutral,Returns & Refunds,"Return was processed, though the timeline could be clearer upfront. Might reconsider depending on future experiences."
188,2025-01-14,CUST8371,Laptop Bag,Email,4,Positive,App & Website,"Website is easy to navigate, could load a touch faster. Really happy with how this turned out."
189,2025-01-14,CUST3142,Phone Case,WhatsApp,2,Negative,Delivery & Shipping,"Tracking wasn't updated for most of the shipping window, made it hard to plan. Left me quite disappointed overall."
190,2025-01-17,CUST7338,Power Bank,Email,3,Neutral,App & Website,Website is functional but feels a bit dated. Might reconsider depending on future experiences.
191,2025-01-19,CUST7184,Desk Lamp,Website,2,Negative,Billing & Payment,Payment confirmation took unusually long to arrive. Left me quite disappointed overall.
192,2025-01-23,CUST9899,Router,Phone,1,Negative,Product Quality,"Very poor build quality, definitely not worth the price. Not planning to purchase from here again."
193,2025-01-26,CUST2771,Keyboard,Website,1,Negative,General/Overall Experience,This whole purchase was a letdown from start to finish. Really hope this gets fixed soon.
194,2025-01-27,CUST5272,Phone Case,Mobile App,1,Negative,Delivery & Shipping,Order was delivered to the wrong address entirely. Not planning to purchase from here again.
195,2025-01-29,CUST2040,Smart Watch,Phone,1,Negative,App & Website,"Can't complete checkout, it keeps showing an error. Left me quite disappointed overall."
196,2025-01-29,CUST2894,Laptop Stand,WhatsApp,4,Positive,Customer Service,"Support agent was courteous and got my issue sorted eventually. Can't complain at all, great experience."
197,2025-02-06,CUST9802,Desk Lamp,WhatsApp,2,Negative,App & Website,Search on the website doesn't always return accurate results. Really hope this gets fixed soon.
198,2025-02-10,CUST4350,HDMI Cable,Mobile App,5,Positive,General/Overall Experience,Everything about this purchase exceeded my expectations. Really happy with how this turned out.
199,2025-02-13,CUST9346,USB Hub,In-Store,4,Positive,Customer Service,Support agent was courteous and got my issue sorted eventually. Highly recommend based on this experience.
200,2025-02-14,CUST2421,Laptop Stand,In-Store,5,Positive,App & Website,"App experience is fantastic, everything loads fast and works well. Highly recommend based on this experience."
201,2025-02-14,CUST4502,Laptop Stand,Website,1,Negative,General/Overall Experience,"Very disappointed with the whole process, from order to delivery. Left me quite disappointed overall."
